_id,X,Y,neighborhood_id,neighborhood_name,device_serial,device_connectedto,device_address,device_lat,device_long,device_tags,etl_updatedtimestamp,is_current,org1,org2,inside_outside,landmark,ObjectId
24,-71.0809287428856,42.307582472509,N_579275502070532581,Roxbury,Q2CK-5HAA-H694,ROX-GROVEHALL-AP2,"41 Geneva Ave., Roxbury, MA",42.307582472509,-71.0809287428856,"['BPL', 'Grove-Hall', 'Outside']",2024/04/02 07:56:03+00,1,BPL,,,Grove Hall Outside,24
25,-71.0836630325452,42.3301489235268,N_601230550253961809,Bolling,Q2FD-VT33-84WZ,BOL-ROOFDECK-AP1,"2300 Washington St., Roxbury 02119",42.3301489235268,-71.0836630325452,"['Bolling', 'Inside']",2024/04/02 07:56:07+00,1,,,Inside,Bolling,25
26,-71.0993305996779,42.3192186624804,N_579275502070532581,Roxbury,Q2CK-GUWZ-2YNU,ROX-BRAGDON-AP1,"85 Bragdon St., Roxbury MA",42.3192186624804,-71.0993305996779,"['EOC', 'Outside']",2024/04/02 07:56:03+00,1,,,,EOC Outside,26
27,-71.0659605900958,42.315958662778,N_601230550253965256,Strand Theatre - Internal,Q2KD-JUWB-SVBB,Strand_Camera room theatre wall ,"543 Columbia Rd, Boston, MA 02125",42.315958662778,-71.0659605900958,['Inside'],2024/04/02 07:56:10+00,1,,,Inside,,27
28,-71.0659605900958,42.315958662778,N_601230550253965256,Strand Theatre - Internal,Q2KD-V49N-RSA2,Strand_Orchestra lobby_AP1,"543 Columbia Rd, Boston, MA 02125",42.315958662778,-71.0659605900958,['Inside'],2024/04/02 07:56:10+00,1,,,Inside,,28
29,-71.0659605900958,42.315958662778,N_601230550253965256,Strand Theatre - Internal,Q2KD-363A-MRZV,Strand_Camera room office left,"543 Columbia Rd, Boston, MA 02125",42.315958662778,-71.0659605900958,['Inside'],2024/04/02 07:56:10+00,1,,,Inside,,29
30,-71.0659605900958,42.315958662778,N_601230550253965256,Strand Theatre - Internal,Q2KD-6HAC-QJAE,Strand_Orchestra lobby_AP2,"543 Columbia Rd, Boston, MA 02125",42.315958662778,-71.0659605900958,['Inside'],2024/04/02 07:56:10+00,1,,,Inside,,30
31,-71.0659605900958,42.315958662778,N_601230550253965256,Strand Theatre - Internal,Q2KD-4CVV-PPU5,Strand_Orchestra lobby_AP3,"543 Columbia Rd, Boston, MA 02125",42.315958662778,-71.0659605900958,['Inside'],2024/04/02 07:56:10+00,1,,,Inside,,31
32,-71.0659605900958,42.315958662778,N_601230550253965256,Strand Theatre - Internal,Q2KD-6H83-WZ3E,Strand_Box Office ceiling,"543 Columbia Rd, Boston, MA 02125",42.315958662778,-71.0659605900958,['Inside'],2024/04/02 07:56:10+00,1,,,Inside,,32
33,-71.0659605900958,42.315958662778,N_601230550253965256,Strand Theatre - Internal,Q2KD-4MAV-QUR8,Strand_Camera room office right,"543 Columbia Rd, Boston, MA 02125",42.315958662778,-71.0659605900958,['Inside'],2024/04/02 07:56:10+00,1,,,Inside,,33
